               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10499,             0.13755,             0.08222,                   0,                   0,                   0,                   0,             0.10239,            0.068302,            0.060235,           0.0033313,           0.0033313,            0.070019
                   1,            0.092877,            0.092342,            0.049374,            0.060627,            0.017077,            0.036986,            0.021798,             0.10479,            0.074478,            0.053401,           0.0066644,           0.0066644,            0.040018
                   2,            0.081068,            0.085663,            0.041945,            0.076258,            0.035505,            0.051375,            0.031022,             0.10755,            0.074727,            0.053458,            0.009997,            0.009997,            0.010018
                   3,            0.072263,            0.081379,            0.037969,             0.16223,            0.060992,             0.10974,            0.071935,             0.10619,            0.082312,             0.05354,           0.0099978,           0.0099978,           0.0099978
                   4,            0.065864,            0.077266,             0.03575,             0.18254,            0.077715,             0.13125,            0.092458,             0.10623,            0.088421,            0.052865,           0.0099978,           0.0099978,           0.0099978
                   5,             0.06317,            0.074938,            0.033889,             0.29507,            0.096507,             0.19647,             0.14892,             0.10859,            0.087782,            0.054155,           0.0099961,           0.0099961,           0.0099961
                   6,            0.060631,            0.073675,            0.032164,             0.31833,             0.11399,             0.21734,             0.16367,             0.10847,            0.090386,            0.053582,           0.0099938,           0.0099938,           0.0099938
                   7,            0.058904,            0.071532,            0.030702,             0.32707,             0.14389,             0.23171,             0.17891,             0.10729,            0.092541,            0.053417,           0.0099911,           0.0099911,           0.0099911
                   8,            0.057459,            0.070824,            0.029365,             0.31813,             0.17807,             0.24277,              0.1839,             0.10737,             0.09574,            0.053597,           0.0099879,           0.0099879,           0.0099879
                   9,             0.05649,             0.06993,            0.028466,             0.34491,             0.17949,             0.25685,             0.20047,             0.10718,            0.094989,            0.053109,           0.0099842,           0.0099842,           0.0099842
                  10,            0.055511,            0.068986,            0.027363,             0.34879,             0.18618,              0.2636,             0.20548,             0.10776,            0.095115,            0.053288,             0.00998,             0.00998,             0.00998
                  11,            0.054691,            0.068628,            0.026761,             0.35949,             0.20276,             0.27328,             0.21382,             0.10833,            0.094411,            0.053263,           0.0099753,           0.0099753,           0.0099753
                  12,            0.054023,            0.067501,            0.026008,             0.36257,              0.2235,              0.2868,             0.22913,             0.10869,            0.096257,            0.054355,           0.0099702,           0.0099702,           0.0099702
                  13,            0.053237,            0.067377,            0.025136,             0.37363,             0.23561,             0.29917,              0.2368,             0.10864,            0.096892,            0.053978,           0.0099645,           0.0099645,           0.0099645
                  14,            0.053011,            0.067398,            0.024715,             0.37751,             0.25212,             0.30887,             0.24523,             0.10891,            0.096529,            0.053249,           0.0099584,           0.0099584,           0.0099584
                  15,            0.052092,            0.066265,             0.02436,             0.39837,             0.25382,             0.32338,             0.25446,             0.10919,            0.096895,            0.054471,           0.0099517,           0.0099517,           0.0099517
                  16,            0.051765,            0.064892,            0.023619,             0.46942,             0.24356,             0.35607,             0.29432,             0.10881,            0.098189,            0.053814,           0.0099446,           0.0099446,           0.0099446
                  17,            0.051213,            0.064919,            0.023093,             0.44477,             0.26418,             0.35454,             0.28742,             0.10883,            0.097099,            0.055635,            0.009937,            0.009937,            0.009937
                  18,            0.050794,            0.064501,             0.02274,             0.50786,             0.26715,             0.38861,             0.32302,             0.10871,            0.097241,            0.052373,           0.0099289,           0.0099289,           0.0099289
                  19,            0.050538,            0.064111,            0.022529,             0.45148,             0.27158,             0.36272,             0.29277,             0.10864,            0.099312,            0.054215,           0.0099203,           0.0099203,           0.0099203
                  20,            0.050149,            0.064054,            0.021979,             0.41757,             0.29271,              0.3552,             0.28725,              0.1091,             0.09852,            0.055944,           0.0099112,           0.0099112,           0.0099112
                  21,            0.049835,             0.06373,            0.021846,              0.4248,             0.30101,             0.36375,             0.29578,             0.10934,            0.099183,            0.055658,           0.0099017,           0.0099017,           0.0099017
                  22,            0.049342,            0.062514,            0.021387,             0.50134,             0.29619,              0.3998,             0.31822,             0.10839,            0.099871,            0.053767,           0.0098916,           0.0098916,           0.0098916
                  23,            0.049016,            0.062443,             0.02112,             0.49462,             0.30901,             0.40311,             0.33217,             0.10939,            0.098406,            0.053504,           0.0098811,           0.0098811,           0.0098811
                  24,            0.048998,            0.063121,            0.020802,             0.48798,             0.31948,             0.40315,             0.31927,             0.10914,            0.099849,            0.054162,           0.0098701,           0.0098701,           0.0098701
                  25,            0.048529,            0.061868,            0.020447,             0.48344,             0.32194,             0.40435,             0.32831,             0.10931,             0.10007,            0.053755,           0.0098586,           0.0098586,           0.0098586
                  26,            0.048312,            0.062228,            0.020304,             0.46922,             0.33086,              0.3999,             0.32707,             0.10911,             0.10149,            0.055399,           0.0098467,           0.0098467,           0.0098467
                  27,            0.048368,             0.06243,            0.020113,             0.48254,             0.32584,             0.40519,             0.32939,             0.10907,             0.10116,            0.053923,           0.0098342,           0.0098342,           0.0098342
                  28,            0.047756,            0.062035,            0.019802,             0.48217,             0.33674,             0.40918,              0.3327,              0.1095,             0.10067,            0.054005,           0.0098213,           0.0098213,           0.0098213
                  29,            0.047766,            0.061369,            0.019665,             0.49562,             0.34558,             0.41998,             0.34201,             0.10919,             0.10118,            0.053789,           0.0098079,           0.0098079,           0.0098079
                  30,            0.047451,            0.061103,            0.019299,             0.49547,             0.34657,             0.42033,             0.34291,             0.10965,             0.10052,            0.054965,           0.0097941,           0.0097941,           0.0097941
                  31,            0.047097,            0.060166,            0.019198,             0.49035,             0.35133,             0.42043,             0.34179,             0.10923,             0.10153,            0.054667,           0.0097798,           0.0097798,           0.0097798
                  32,            0.046979,            0.060198,            0.018888,             0.49641,             0.35832,             0.42758,             0.34813,             0.10876,             0.10228,            0.054234,            0.009765,            0.009765,            0.009765
                  33,            0.047167,            0.060696,            0.018784,             0.49881,             0.35978,             0.42643,             0.34722,             0.10959,               0.102,            0.054637,           0.0097497,           0.0097497,           0.0097497
                  34,            0.046739,             0.06022,            0.018556,             0.50002,             0.36436,             0.43016,             0.35238,             0.10876,             0.10295,            0.053858,            0.009734,            0.009734,            0.009734
                  35,            0.046496,            0.060536,            0.018384,             0.50663,             0.36392,              0.4354,             0.35637,             0.10919,             0.10274,            0.054825,           0.0097178,           0.0097178,           0.0097178
                  36,            0.046563,            0.059361,            0.018115,             0.50221,             0.37135,             0.43667,             0.35684,             0.10879,              0.1037,            0.053989,           0.0097011,           0.0097011,           0.0097011
                  37,            0.046117,            0.059178,             0.01797,             0.49336,             0.37968,             0.43452,             0.35391,             0.10964,             0.10179,            0.055729,            0.009684,            0.009684,            0.009684
                  38,            0.045894,            0.058877,            0.017567,             0.49682,             0.38548,             0.44039,             0.35921,             0.10933,             0.10345,            0.054574,           0.0096664,           0.0096664,           0.0096664
                  39,            0.045795,            0.059496,             0.01762,             0.50896,             0.38222,             0.44139,             0.36034,             0.10964,             0.10316,             0.05464,           0.0096484,           0.0096484,           0.0096484
                  40,            0.045603,            0.058723,            0.017455,             0.51736,              0.3798,             0.44589,               0.366,             0.10917,             0.10425,            0.055581,           0.0096299,           0.0096299,           0.0096299
                  41,            0.045769,            0.058961,            0.017276,             0.50289,             0.39122,             0.44382,             0.36324,             0.10888,             0.10446,            0.055103,            0.009611,            0.009611,            0.009611
                  42,            0.045359,            0.058404,            0.017154,             0.50701,             0.39551,             0.44852,             0.36601,             0.10893,             0.10454,            0.055723,           0.0095916,           0.0095916,           0.0095916
                  43,            0.045216,            0.058268,            0.016954,             0.49869,             0.39106,             0.44351,             0.36381,             0.10897,             0.10513,            0.055269,           0.0095717,           0.0095717,           0.0095717
                  44,            0.045422,            0.058966,            0.016783,             0.51101,             0.39653,             0.45159,             0.36983,             0.10936,              0.1046,            0.055504,           0.0095514,           0.0095514,           0.0095514
                  45,            0.045376,            0.058549,            0.016705,             0.51641,             0.39576,             0.45548,             0.37268,             0.10924,             0.10461,            0.055987,           0.0095307,           0.0095307,           0.0095307
                  46,            0.044984,            0.058039,            0.016547,             0.50814,             0.39987,             0.45312,             0.37012,             0.10909,             0.10525,            0.054246,           0.0095095,           0.0095095,           0.0095095
                  47,            0.044683,             0.05767,            0.016465,             0.51764,             0.40167,             0.45845,             0.37457,             0.10956,             0.10475,              0.0561,           0.0094879,           0.0094879,           0.0094879
                  48,            0.044711,            0.057794,            0.016311,             0.50541,              0.4051,             0.45629,             0.37413,             0.10939,             0.10477,            0.055474,           0.0094659,           0.0094659,           0.0094659
                  49,            0.044595,            0.057537,            0.016152,             0.51233,             0.40844,             0.46011,             0.37815,             0.10914,             0.10602,            0.055597,           0.0094434,           0.0094434,           0.0094434
                  50,            0.044594,            0.057565,            0.016085,             0.51064,              0.4095,             0.45996,              0.3782,              0.1094,             0.10479,            0.054268,           0.0094205,           0.0094205,           0.0094205
                  51,            0.044563,             0.05766,            0.015949,             0.51819,             0.40944,             0.46496,             0.38172,             0.10942,             0.10554,            0.056458,           0.0093971,           0.0093971,           0.0093971
                  52,            0.044356,            0.057215,            0.015797,             0.52408,             0.40835,             0.46367,             0.38093,             0.10953,              0.1055,            0.054977,           0.0093733,           0.0093733,           0.0093733
                  53,            0.044327,            0.057453,            0.015719,             0.51495,              0.4129,             0.46456,             0.38203,             0.10899,             0.10651,            0.055554,           0.0093491,           0.0093491,           0.0093491
                  54,            0.044033,            0.057622,             0.01557,              0.5177,             0.41139,             0.46456,             0.38166,             0.10913,             0.10721,            0.055977,           0.0093245,           0.0093245,           0.0093245
                  55,            0.044137,            0.057952,            0.015587,             0.51236,             0.41834,             0.46659,             0.38347,             0.10908,             0.10754,            0.055273,           0.0092995,           0.0092995,           0.0092995
                  56,            0.044139,            0.056662,            0.015422,             0.51981,             0.42032,             0.46961,             0.38631,             0.10934,             0.10665,            0.055976,            0.009274,            0.009274,            0.009274
                  57,             0.04363,            0.056103,            0.015251,             0.51778,             0.41732,             0.46765,             0.38412,             0.10954,             0.10537,            0.055454,           0.0092481,           0.0092481,           0.0092481
                  58,             0.04368,            0.056412,            0.015297,             0.51474,             0.42066,             0.46674,             0.38377,             0.10959,             0.10665,            0.055067,           0.0092219,           0.0092219,           0.0092219
                  59,            0.043731,            0.057397,            0.015124,             0.52097,             0.41829,             0.46987,              0.3864,             0.10936,             0.10639,            0.055885,           0.0091952,           0.0091952,           0.0091952
                  60,            0.043662,            0.057822,            0.014973,             0.51657,             0.42352,             0.47048,             0.38635,             0.10933,             0.10771,            0.055716,           0.0091681,           0.0091681,           0.0091681
                  61,            0.043637,             0.05657,            0.015069,             0.51816,              0.4259,             0.47192,             0.38737,             0.10983,             0.10648,            0.056417,           0.0091406,           0.0091406,           0.0091406
                  62,            0.043416,            0.055768,            0.014909,             0.52015,             0.42621,             0.47392,             0.38898,             0.10952,             0.10705,            0.055814,           0.0091127,           0.0091127,           0.0091127
                  63,             0.04318,            0.055929,            0.014872,             0.51651,             0.42973,             0.47283,             0.38855,              0.1096,             0.10771,            0.056176,           0.0090844,           0.0090844,           0.0090844
                  64,            0.043366,            0.056544,            0.014759,             0.51215,             0.42734,             0.46891,             0.38577,             0.10971,             0.10742,            0.056346,           0.0090557,           0.0090557,           0.0090557
                  65,            0.043172,            0.056494,            0.014551,             0.51463,             0.43304,              0.4734,             0.38932,             0.11002,             0.10705,            0.056842,           0.0090266,           0.0090266,           0.0090266
                  66,            0.043134,            0.056117,            0.014482,             0.51453,             0.43281,             0.47332,             0.38861,             0.10962,             0.10776,            0.056265,           0.0089972,           0.0089972,           0.0089972
                  67,             0.04321,            0.055632,            0.014464,             0.51836,             0.43236,             0.47562,             0.39255,             0.10947,             0.10753,            0.056974,           0.0089673,           0.0089673,           0.0089673
                  68,            0.043243,            0.056285,             0.01437,             0.51741,             0.43325,             0.47572,             0.39216,             0.10951,             0.10822,            0.057238,           0.0089371,           0.0089371,           0.0089371
