               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14892,             0.33425,                   0,                   0,                   0,                   0,                   0,             0.13604,            0.047994,                   0,             0.00183,             0.00183,             0.08353
                   1,             0.13978,            0.066107,                   0,                   0,                   0,                   0,                   0,             0.13161,            0.039152,                   0,           0.0036699,           0.0036699,             0.06697
                   2,             0.13612,            0.059008,                   0,           0.0049944,          4.1086e-05,           0.0021316,           0.0010658,             0.12948,            0.036527,                   0,           0.0055095,           0.0055095,            0.050409
                   3,             0.13472,            0.059762,                   0,                   0,                   0,                   0,                   0,             0.12807,            0.035597,                   0,           0.0073484,           0.0073484,            0.033848
                   4,              0.1347,            0.058986,                   0,                   0,                   0,                   0,                   0,             0.12758,            0.034926,                   0,           0.0091864,           0.0091864,            0.017286
                   5,             0.13414,            0.058888,                   0,                   0,                   0,                   0,                   0,             0.12713,            0.034324,                   0,           0.0099938,           0.0099938,           0.0099938
                   6,              0.1336,            0.053763,                   0,                   0,                   0,                   0,                   0,             0.12728,            0.033176,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,             0.13075,            0.048977,                   0,           0.0085787,           0.0002876,           0.0042803,           0.0024465,             0.12708,            0.032621,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,             0.12762,            0.047427,                   0,                   0,                   0,                   0,                   0,             0.12725,            0.034403,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,               0.125,            0.046366,                   0,             0.30623,            0.045975,             0.16703,            0.088697,             0.12823,            0.033361,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,              0.1221,            0.051108,                   0,                   0,                   0,                   0,                   0,              0.1278,            0.031327,                   0,             0.00998,             0.00998,             0.00998
                  11,             0.12123,            0.048238,                   0,             0.42683,            0.012819,             0.21715,              0.1193,             0.12881,            0.032375,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,              0.1184,            0.048388,                   0,             0.40395,            0.053823,              0.2149,             0.11709,             0.12957,            0.033931,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,             0.11777,            0.056806,                   0,             0.33656,             0.01286,             0.17392,             0.09439,             0.12846,            0.033878,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,             0.11579,            0.048252,                   0,             0.48183,            0.016886,             0.24592,             0.13399,             0.12984,            0.032113,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,              0.1138,            0.046833,                   0,             0.59059,           0.0092444,             0.29841,             0.16499,             0.12963,             0.03195,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,             0.11449,            0.051002,                   0,             0.53832,            0.012408,             0.27503,             0.14338,             0.12965,            0.032923,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,             0.11385,            0.051363,                   0,             0.43796,             0.10847,             0.25485,             0.13946,             0.13079,            0.036122,                   0,            0.009937,            0.009937,            0.009937
                  18,             0.11354,            0.053568,                   0,             0.47357,             0.12626,              0.2816,             0.15478,             0.13107,            0.035871,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,             0.11203,            0.050809,                   0,             0.54715,             0.10514,             0.31324,             0.17654,             0.13096,            0.035335,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,              0.1115,             0.05066,                   0,             0.50152,             0.13567,             0.29726,             0.16398,             0.13107,            0.036469,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,             0.11226,            0.052732,                   0,             0.44949,             0.17092,             0.28518,             0.15743,             0.13154,            0.038701,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,             0.11107,            0.050431,                   0,             0.51256,             0.15342,             0.31236,             0.17495,             0.13203,            0.038878,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,             0.11109,            0.054487,                   0,             0.57386,              0.1095,             0.32752,              0.1855,             0.13132,            0.036504,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,             0.10959,            0.051775,                   0,             0.60046,             0.11751,             0.34675,             0.19951,              0.1315,            0.036186,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,             0.10919,            0.049077,                   0,             0.65896,            0.065574,             0.35671,              0.2089,             0.13106,            0.034679,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,             0.10862,            0.051726,                   0,             0.60772,            0.043346,             0.32076,             0.18447,             0.13146,            0.033852,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,             0.10929,            0.054898,                   0,             0.61959,            0.058219,             0.33311,             0.19182,             0.13148,            0.034412,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,             0.10867,            0.050307,                   0,             0.61443,             0.10777,             0.35092,              0.2021,             0.13171,             0.03622,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,             0.10922,            0.051542,                   0,             0.59305,             0.15921,             0.35756,              0.2065,             0.13207,            0.038002,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,             0.10911,            0.056303,                   0,             0.66732,            0.070381,             0.36212,             0.21506,             0.13174,            0.035915,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,             0.10776,            0.048717,                   0,             0.61325,             0.13649,             0.36023,             0.20888,             0.13186,            0.037154,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,             0.10637,            0.051246,                   0,             0.63827,             0.11882,             0.36692,              0.2156,             0.13194,               0.037,                   0,            0.009765,            0.009765,            0.009765
                  33,             0.10572,            0.047998,                   0,             0.72185,            0.093512,             0.40269,             0.24006,             0.13218,            0.035711,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,              0.1074,            0.052387,                   0,             0.69285,            0.081187,             0.37895,             0.22587,              0.1316,            0.035096,                   0,            0.009734,            0.009734,            0.009734
                  35,             0.10803,            0.054318,                   0,             0.71375,            0.078886,             0.39171,             0.23215,             0.13196,            0.035573,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,             0.10636,            0.051479,                   0,             0.67619,             0.13813,             0.39773,             0.23715,             0.13264,            0.037208,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,             0.10705,            0.050015,                   0,              0.6035,             0.18292,             0.37096,             0.21552,             0.13253,            0.037764,                   0,            0.009684,            0.009684,            0.009684
                  38,             0.10599,            0.047529,                   0,             0.57485,             0.21566,             0.37564,             0.21666,             0.13263,            0.040305,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,             0.10737,            0.054664,                   0,             0.64696,             0.16369,             0.39188,              0.2298,             0.13267,            0.037173,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,             0.10423,            0.048575,                   0,             0.66888,             0.12408,             0.38976,             0.23716,             0.13156,            0.036897,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,             0.10536,            0.052021,                   0,             0.74129,             0.09265,             0.41351,              0.2551,             0.13256,            0.035537,                   0,            0.009611,            0.009611,            0.009611
                  42,              0.1063,            0.055566,                   0,             0.68778,            0.082542,             0.37933,             0.22593,             0.13132,            0.036748,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,             0.10547,            0.051047,                   0,             0.66816,             0.17729,             0.41161,             0.24727,             0.13275,            0.038174,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,             0.10442,            0.049731,                   0,             0.71938,             0.14577,             0.42563,             0.26093,             0.13266,            0.036516,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,             0.10305,            0.049975,                   0,             0.66579,             0.16574,             0.40715,             0.24382,             0.13245,             0.03877,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,             0.10409,             0.04865,                   0,             0.66172,             0.19779,             0.41621,             0.24574,             0.13383,            0.038621,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,             0.10566,            0.053098,                   0,             0.70658,             0.13456,             0.41314,             0.25115,             0.13224,            0.037259,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,             0.10357,            0.048832,                   0,             0.72144,             0.14865,             0.42844,             0.26171,             0.13322,            0.036907,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,             0.10386,            0.051103,                   0,             0.66351,              0.2074,              0.4245,             0.25591,             0.13311,             0.03939,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,             0.10391,            0.051445,                   0,             0.70336,             0.16747,             0.42453,             0.25916,             0.13327,            0.038457,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,             0.10426,            0.052377,                   0,             0.66386,             0.19758,             0.42097,             0.25348,             0.13285,            0.039094,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,             0.10429,             0.04903,                   0,             0.65381,             0.21385,             0.42056,             0.25065,             0.13355,            0.039412,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,             0.10451,            0.052712,                   0,             0.74485,             0.14549,              0.4377,             0.26876,             0.13344,            0.036418,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,             0.10298,            0.050959,                   0,             0.72652,             0.15826,             0.43413,             0.26231,             0.13353,            0.037457,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,             0.10375,            0.050326,                   0,             0.69807,             0.18542,             0.43189,             0.26246,             0.13397,            0.037377,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,             0.10395,            0.050437,                   0,             0.70107,             0.16969,               0.428,             0.26272,              0.1338,            0.037231,                   0,            0.009274,            0.009274,            0.009274
                  57,             0.10232,            0.046566,                   0,             0.67464,             0.20975,             0.43149,             0.26083,             0.13366,            0.038836,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,             0.10363,            0.052963,                   0,             0.70556,             0.18883,             0.43715,             0.26712,             0.13322,            0.038803,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,             0.10256,            0.051454,                   0,             0.75466,             0.13978,             0.44139,             0.27317,             0.13391,            0.036549,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,             0.10283,            0.049143,                   0,             0.62427,             0.24923,             0.41922,             0.24839,             0.13356,            0.041393,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,             0.10205,            0.049881,                   0,             0.68776,             0.21258,             0.43895,             0.26515,             0.13367,            0.039257,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,             0.10255,            0.053676,                   0,             0.73207,             0.17108,              0.4453,               0.273,             0.13364,            0.037739,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,             0.10276,            0.049458,                   0,              0.7302,             0.17314,             0.44585,             0.27225,             0.13319,            0.038359,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,             0.10231,            0.049312,                   0,             0.69342,              0.2247,             0.44968,             0.27129,             0.13367,            0.039153,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,             0.10166,            0.046445,                   0,             0.72625,             0.18629,             0.44573,             0.27198,             0.13373,            0.037959,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,             0.10218,            0.052749,                   0,             0.73047,             0.18941,             0.45157,              0.2791,             0.13387,            0.038829,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,              0.1009,            0.047885,                   0,             0.71756,             0.20699,             0.45384,             0.27693,              0.1331,            0.039227,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,             0.10202,            0.048505,                   0,             0.69934,             0.18789,             0.43316,             0.26479,             0.13398,            0.037873,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,             0.10139,             0.04623,                   0,             0.70826,              0.1966,              0.4427,             0.27315,             0.13329,            0.039164,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,             0.10117,            0.048278,                   0,             0.68938,             0.22532,             0.44754,             0.27235,             0.13402,            0.039494,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,             0.10087,            0.049454,                   0,             0.70346,             0.20321,              0.4453,             0.27424,             0.13304,            0.038966,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,             0.10188,            0.051974,                   0,             0.72678,             0.19902,             0.45617,             0.27937,             0.13428,            0.038244,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,             0.10127,            0.050478,                   0,             0.73445,             0.19795,             0.45895,             0.28406,             0.13386,            0.038339,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,             0.10007,            0.048061,                   0,             0.76941,             0.14697,             0.45358,             0.28711,              0.1336,             0.03682,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,             0.10177,            0.049249,                   0,              0.7392,             0.20391,             0.46313,             0.28282,             0.13393,            0.038448,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,             0.10198,            0.048421,                   0,             0.70828,             0.17786,             0.43227,             0.26481,             0.13383,            0.038372,                   0,            0.008682,            0.008682,            0.008682
                  77,             0.10067,            0.050743,                   0,             0.74123,             0.18583,             0.45756,             0.28528,             0.13404,            0.038695,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,            0.099415,            0.045245,                   0,             0.72157,             0.22552,             0.46516,             0.28499,             0.13462,            0.039066,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,             0.10132,            0.047972,                   0,             0.71452,             0.19878,             0.44808,             0.27632,             0.13344,            0.038415,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,            0.099868,            0.051757,                   0,             0.71396,             0.21936,             0.45567,             0.28212,              0.1344,            0.038916,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,             0.10026,            0.051133,                   0,             0.71238,             0.19997,             0.44763,             0.27844,             0.13306,            0.038675,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,             0.09918,            0.048324,                   0,             0.70596,             0.21948,             0.45336,             0.27731,             0.13398,            0.039439,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,             0.10075,            0.052116,                   0,              0.7174,              0.2231,             0.46342,             0.28738,             0.13361,             0.03922,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,            0.098639,            0.047816,                   0,              0.7265,             0.22581,             0.46762,             0.28979,             0.13376,            0.039223,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,             0.10039,            0.048933,                   0,             0.70393,             0.23308,             0.45974,             0.28222,             0.13329,            0.039752,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.099468,            0.047914,                   0,             0.71193,             0.21821,             0.45596,             0.27955,             0.13379,            0.038129,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,             0.10011,            0.048237,                   0,             0.69929,             0.24956,              0.4614,             0.28087,             0.13376,            0.040046,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.099589,            0.051735,                   0,             0.67687,             0.25802,             0.45543,             0.27799,             0.13419,            0.040268,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,             0.10044,            0.047189,                   0,              0.7151,             0.22544,             0.46166,             0.28426,             0.13418,            0.038766,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,            0.099668,            0.048673,                   0,             0.77172,             0.17515,             0.46705,             0.29319,             0.13398,            0.037365,                   0,            0.008183,            0.008183,            0.008183
                  91,              0.0992,            0.046947,                   0,             0.72227,             0.21509,             0.46024,             0.28708,             0.13434,            0.039478,                   0,            0.008145,            0.008145,            0.008145
                  92,            0.099645,            0.050646,                   0,             0.69262,             0.26024,             0.46571,              0.2838,             0.13398,             0.04039,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,            0.099583,            0.047389,                   0,             0.68754,             0.26028,             0.46275,             0.28316,             0.13378,            0.040889,                   0,           0.0080682,           0.0080682,           0.0080682
