               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12101,              0.3336,            0.075598,            0.021305,            0.014205,            0.013616,           0.0075122,             0.11692,             0.26936,            0.059089,           0.0033313,           0.0033313,            0.070019
                   1,             0.10418,             0.29967,            0.045777,             0.11894,            0.022627,            0.069065,            0.045553,             0.11787,             0.27075,            0.057089,           0.0066644,           0.0066644,            0.040018
                   2,            0.097975,             0.29889,            0.040622,             0.10823,            0.061322,             0.07766,            0.045512,             0.12186,             0.37636,            0.063806,            0.009997,            0.009997,            0.010018
                   3,            0.091661,             0.28834,            0.037922,              0.1473,            0.070132,              0.1078,            0.075549,             0.12235,             0.32422,            0.069049,           0.0099978,           0.0099978,           0.0099978
                   4,             0.08702,             0.28246,            0.035686,             0.34833,            0.084255,             0.21748,             0.15957,             0.12333,             0.33939,             0.06853,           0.0099978,           0.0099978,           0.0099978
                   5,            0.084448,             0.27564,            0.034178,             0.31078,             0.11403,             0.21279,             0.15344,              0.1224,              0.3697,            0.076846,           0.0099961,           0.0099961,           0.0099961
                   6,              0.0824,             0.26848,            0.033115,             0.34152,             0.12994,             0.23542,             0.17499,             0.12435,             0.35445,            0.083736,           0.0099938,           0.0099938,           0.0099938
                   7,            0.081525,             0.26583,            0.031907,             0.32162,             0.13222,              0.2244,             0.16784,             0.12303,             0.37059,            0.090687,           0.0099911,           0.0099911,           0.0099911
                   8,            0.080627,              0.2633,            0.031192,             0.33391,              0.1599,              0.2428,             0.18376,             0.12418,             0.37374,            0.092738,           0.0099879,           0.0099879,           0.0099879
                   9,            0.079252,             0.26128,            0.030593,             0.33436,             0.17294,             0.24883,             0.19014,              0.1235,             0.37849,            0.085612,           0.0099842,           0.0099842,           0.0099842
                  10,            0.078731,              0.2563,            0.029794,             0.33425,             0.19327,             0.25762,             0.19739,             0.12435,             0.37066,            0.072363,             0.00998,             0.00998,             0.00998
                  11,            0.078167,             0.25766,            0.029327,             0.35061,             0.19985,             0.26755,             0.20937,              0.1248,             0.37446,            0.068028,           0.0099753,           0.0099753,           0.0099753
