               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.17054,             0.37581,                   0,                   0,                   0,                   0,                   0,             0.15844,            0.052511,                   0,             0.00183,             0.00183,             0.08353
                   1,             0.15769,            0.077083,                   0,                   0,                   0,                   0,                   0,             0.14892,            0.058235,                   0,           0.0036699,           0.0036699,             0.06697
                   2,             0.15292,            0.086398,                   0,                   0,                   0,                   0,                   0,              0.1455,            0.060844,                   0,           0.0055095,           0.0055095,            0.050409
                   3,             0.14844,            0.086047,                   0,                   0,                   0,                   0,                   0,              0.1436,            0.060943,                   0,           0.0073484,           0.0073484,            0.033848
                   4,             0.14462,            0.084428,                   0,            0.049144,           0.0017667,             0.02454,            0.013126,             0.14309,            0.069668,                   0,           0.0091864,           0.0091864,            0.017286
                   5,             0.14174,             0.10318,                   0,             0.11516,           0.0043141,            0.057379,            0.028966,             0.14278,            0.066311,                   0,           0.0099938,           0.0099938,           0.0099938
                   6,             0.13912,             0.10622,                   0,             0.25752,            0.020749,             0.13265,            0.069587,             0.14304,            0.070174,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,             0.13654,             0.11445,                   0,             0.37342,           0.0096964,             0.19165,             0.10115,             0.14344,            0.066314,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,             0.13437,             0.11102,                   0,             0.49272,           0.0013558,             0.24789,             0.14325,             0.14322,            0.063947,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,             0.13337,             0.11858,                   0,             0.48876,           0.0035745,             0.24781,             0.12843,             0.14385,            0.065898,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,             0.13259,             0.11687,                   0,             0.46266,            0.036649,             0.24039,             0.13035,             0.14448,            0.072668,                   0,             0.00998,             0.00998,             0.00998
                  11,             0.13222,              0.1171,                   0,             0.50056,            0.054891,             0.26633,             0.14246,             0.14534,            0.081729,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,             0.13059,             0.11867,                   0,              0.5117,            0.019763,             0.26337,             0.14699,             0.14538,            0.072339,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,             0.12979,             0.11916,                   0,             0.74214,           0.0048482,             0.37415,             0.21391,             0.14439,            0.067012,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,              0.1297,             0.12624,                   0,              0.7309,            0.009039,             0.36919,             0.20836,             0.14523,            0.070333,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,             0.12897,             0.12618,                   0,             0.55373,            0.047003,             0.29281,             0.16168,             0.14616,            0.075542,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,             0.12737,             0.11891,                   0,             0.55731,            0.079913,             0.30667,             0.16841,             0.14641,            0.078703,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,             0.12535,             0.12496,                   0,             0.56108,            0.050577,             0.29826,             0.16265,             0.14666,            0.077642,                   0,            0.009937,            0.009937,            0.009937
                  18,             0.12839,             0.12756,                   0,             0.50275,            0.056412,             0.27004,             0.14759,             0.14639,            0.082036,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,             0.12678,             0.12681,                   0,             0.66874,            0.043961,             0.35197,             0.19613,             0.14718,            0.077538,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,              0.1267,             0.12727,                   0,             0.72495,            0.015161,               0.369,             0.20872,             0.14613,            0.069935,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,             0.12808,             0.12807,                   0,             0.68989,            0.058589,               0.368,             0.21332,             0.14682,            0.075643,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,             0.12592,             0.12163,                   0,             0.49857,              0.1581,             0.30511,             0.16884,             0.14753,             0.09306,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,             0.12604,             0.12161,                   0,             0.68156,            0.053905,             0.36163,             0.20826,             0.14689,            0.075837,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,              0.1258,             0.12969,                   0,              0.7331,            0.059698,             0.39324,             0.23219,             0.14697,            0.080045,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,             0.12547,             0.12456,                   0,             0.81413,            0.035992,             0.42395,             0.26013,             0.14736,            0.073834,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,             0.12494,             0.12491,                   0,             0.70484,            0.055631,             0.37621,             0.21843,              0.1471,            0.077124,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,             0.12529,             0.12453,                   0,             0.68559,            0.084843,              0.3786,             0.22274,             0.14767,            0.080562,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,             0.12468,             0.12825,                   0,              0.6329,             0.13246,             0.37146,             0.21381,             0.14818,            0.087513,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,             0.12482,             0.13013,                   0,             0.68078,             0.10506,             0.38648,             0.23046,             0.14718,            0.082058,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,             0.12386,             0.13027,                   0,             0.69888,            0.099552,             0.39171,             0.22899,              0.1474,             0.08172,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,             0.12192,             0.12255,                   0,             0.71429,            0.086076,             0.39416,             0.22905,             0.14842,            0.081179,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,             0.12458,             0.12769,                   0,             0.76452,            0.060561,              0.4097,             0.24543,             0.14816,            0.078921,                   0,            0.009765,            0.009765,            0.009765
                  33,             0.12276,             0.12928,                   0,             0.64231,             0.10403,             0.36517,              0.2132,             0.14732,            0.086144,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,             0.12346,             0.12792,                   0,             0.75604,            0.063026,             0.40593,             0.24435,             0.14743,            0.078357,                   0,            0.009734,            0.009734,            0.009734
                  35,             0.12276,             0.13569,                   0,             0.72508,            0.091458,             0.40186,             0.23687,             0.14722,             0.08014,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,             0.12321,             0.12034,                   0,             0.73434,             0.10165,             0.41183,             0.24769,             0.14776,            0.080171,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,             0.12268,             0.13055,                   0,             0.66476,             0.11952,             0.38004,             0.21878,             0.14815,            0.082479,                   0,            0.009684,            0.009684,            0.009684
                  38,             0.12271,             0.12461,                   0,             0.67617,              0.1461,             0.40155,             0.23616,             0.14839,             0.08551,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,             0.12307,             0.12156,                   0,             0.63833,              0.1549,              0.3845,             0.22201,             0.14881,            0.090037,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,             0.12336,              0.1239,                   0,             0.78344,             0.09721,             0.43606,              0.2686,             0.14769,            0.081184,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,             0.12204,             0.13479,                   0,             0.73645,             0.10608,             0.41535,             0.25131,             0.14787,            0.081328,                   0,            0.009611,            0.009611,            0.009611
                  42,             0.12161,              0.1271,                   0,              0.5608,             0.11862,             0.32916,             0.18781,             0.14779,            0.083653,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,             0.12295,             0.12638,                   0,             0.72059,             0.12207,             0.41581,             0.24857,             0.14812,            0.084331,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,             0.12144,             0.12939,                   0,             0.72961,             0.12572,             0.42239,              0.2554,             0.14759,            0.082582,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,             0.12238,              0.1308,                   0,             0.76437,            0.087432,             0.42144,             0.25717,             0.14835,             0.08032,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,             0.12178,             0.12307,                   0,             0.71841,             0.13082,             0.41739,              0.2489,             0.14841,            0.084202,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,             0.12079,             0.12636,                   0,             0.75698,             0.11927,             0.43248,             0.26279,             0.14872,            0.081944,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,             0.12165,             0.13333,                   0,             0.68703,             0.11734,             0.39627,             0.23345,             0.14845,            0.083859,                   0,           0.0094659,           0.0094659,           0.0094659
