               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12146,             0.32642,            0.074688,            0.023386,            0.018042,            0.016386,           0.0088724,             0.11763,             0.27418,            0.059666,           0.0033313,           0.0033313,            0.070019
                   1,              0.1049,             0.29163,            0.045374,            0.092509,            0.043291,            0.066683,             0.03974,             0.12026,             0.29146,            0.056832,           0.0066644,           0.0066644,            0.040018
                   2,            0.098626,             0.29418,             0.04048,             0.23394,            0.057307,             0.14373,            0.095147,             0.11996,             0.31458,            0.058983,            0.009997,            0.009997,            0.010018
                   3,            0.092551,             0.28862,             0.03733,             0.20068,            0.076136,             0.11323,            0.073589,              0.1239,             0.32942,            0.062771,           0.0099978,           0.0099978,           0.0099978
                   4,            0.088428,             0.28058,            0.035545,             0.33787,            0.089906,             0.21509,             0.15548,             0.12587,             0.33188,            0.066776,           0.0099978,           0.0099978,           0.0099978
                   5,            0.085821,             0.27081,            0.034125,             0.31203,             0.11471,             0.21446,              0.1573,             0.12535,             0.34885,             0.06861,           0.0099961,           0.0099961,           0.0099961
                   6,            0.084343,             0.26455,            0.032797,             0.30597,             0.12993,             0.21658,             0.15595,             0.12492,             0.34661,            0.067828,           0.0099938,           0.0099938,           0.0099938
                   7,            0.082998,             0.26524,            0.032226,             0.32188,             0.14033,             0.22752,             0.16692,              0.1239,             0.34101,            0.072642,           0.0099911,           0.0099911,           0.0099911
                   8,            0.081927,             0.26291,            0.031542,              0.3021,             0.16529,             0.22858,             0.16797,             0.12501,             0.35221,            0.071003,           0.0099879,           0.0099879,           0.0099879
                   9,             0.08121,             0.26119,            0.030748,             0.31003,             0.17066,             0.23429,             0.17463,             0.12436,             0.35024,            0.078821,           0.0099842,           0.0099842,           0.0099842
                  10,            0.080327,             0.25744,            0.030034,             0.34938,             0.16984,             0.25614,              0.1957,              0.1253,             0.35795,            0.071498,             0.00998,             0.00998,             0.00998
                  11,            0.079559,             0.25806,             0.02967,             0.34959,             0.17299,             0.25771,             0.19819,             0.12506,             0.35935,            0.070949,           0.0099753,           0.0099753,           0.0099753
                  12,            0.079182,             0.25673,            0.028989,             0.45644,             0.20209,             0.32068,             0.23353,              0.1253,             0.36102,            0.083328,           0.0099702,           0.0099702,           0.0099702
                  13,            0.078733,             0.25555,            0.028752,              0.3567,             0.20627,             0.27277,             0.21216,             0.12522,             0.36438,            0.087952,           0.0099645,           0.0099645,           0.0099645
                  14,            0.077973,             0.25324,            0.028151,             0.44915,             0.22887,              0.3299,             0.24101,             0.12567,             0.36997,             0.07925,           0.0099584,           0.0099584,           0.0099584
                  15,            0.077901,             0.25391,            0.027902,             0.40368,             0.23338,              0.3092,             0.23857,             0.12607,             0.36564,            0.076263,           0.0099517,           0.0099517,           0.0099517
                  16,            0.077328,             0.24785,            0.027592,             0.45313,             0.23613,             0.33586,             0.26829,             0.12603,             0.36405,            0.073572,           0.0099446,           0.0099446,           0.0099446
                  17,            0.076846,             0.24847,            0.027229,             0.45723,             0.23966,             0.34163,             0.27315,             0.12515,             0.36614,            0.081822,            0.009937,            0.009937,            0.009937
                  18,            0.076719,             0.24888,            0.027029,             0.43349,             0.26218,             0.33895,             0.26299,             0.12605,             0.36856,            0.071679,           0.0099289,           0.0099289,           0.0099289
