               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16882,             0.37604,                   0,                   0,                   0,                   0,                   0,             0.15878,            0.051065,                   0,             0.00183,             0.00183,             0.08353
                   1,             0.15739,            0.079637,                   0,          0.00055555,          0.00082173,          0.00027171,          0.00013585,             0.15828,            0.064915,                   0,           0.0036699,           0.0036699,             0.06697
                   2,             0.15194,             0.08783,                   0,                   0,                   0,                   0,                   0,             0.14499,            0.060216,                   0,           0.0055095,           0.0055095,            0.050409
                   3,             0.14761,            0.090843,                   0,             0.14189,          0.00086281,            0.071011,             0.03889,             0.14372,            0.058331,                   0,           0.0073484,           0.0073484,            0.033848
                   4,             0.14339,            0.088368,                   0,             0.24875,           0.0060808,             0.12567,            0.067889,              0.1444,            0.058609,                   0,           0.0091864,           0.0091864,            0.017286
                   5,             0.14136,            0.098739,                   0,                   0,                   0,                   0,                   0,             0.14257,            0.062569,                   0,           0.0099938,           0.0099938,           0.0099938
                   6,             0.13866,             0.10042,                   0,              0.2429,            0.034061,             0.12577,            0.065913,             0.14346,            0.064465,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,             0.13624,             0.10958,                   0,                   0,                   0,                   0,                   0,             0.14327,            0.062179,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,             0.13469,             0.11633,                   0,             0.25536,            0.052344,             0.13913,            0.072991,             0.14408,            0.069628,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,             0.13382,             0.11444,                   0,             0.36909,            0.079872,             0.20713,             0.11146,             0.14409,            0.077706,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,             0.13181,             0.12113,                   0,             0.50564,            0.020256,             0.26052,             0.13874,             0.14379,            0.069728,                   0,             0.00998,             0.00998,             0.00998
                  11,             0.13198,              0.1152,                   0,             0.56681,             0.04462,             0.29946,             0.16337,             0.14469,            0.070631,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,             0.12997,             0.11994,                   0,             0.56889,            0.023584,             0.29405,             0.16029,             0.14519,            0.068185,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,             0.12949,             0.11897,                   0,             0.46004,             0.11352,             0.26712,             0.14304,             0.14614,            0.081648,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,             0.13104,             0.12669,                   0,             0.68186,            0.028267,             0.35253,             0.19866,              0.1451,            0.069942,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,               0.128,              0.1195,                   0,              0.5477,            0.064629,             0.29431,             0.16177,             0.14544,            0.072636,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,             0.12752,             0.12179,                   0,             0.48224,             0.12494,             0.28198,             0.15318,             0.14648,            0.078905,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,             0.12755,             0.12732,                   0,             0.73864,           0.0053412,             0.37259,             0.20776,             0.14562,             0.06883,                   0,            0.009937,            0.009937,            0.009937
                  18,             0.12762,             0.12684,                   0,             0.68757,            0.053618,             0.36603,             0.20696,              0.1459,            0.071657,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,             0.12749,             0.11784,                   0,             0.54355,            0.093595,              0.3044,             0.17096,             0.14664,            0.076934,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,             0.12635,             0.12352,                   0,             0.54014,            0.022392,             0.27867,             0.15126,             0.14839,            0.072458,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,             0.12729,             0.12393,                   0,             0.54761,             0.15358,             0.33137,             0.18305,              0.1476,            0.082728,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,             0.12569,             0.12468,                   0,             0.63452,             0.10436,             0.35878,             0.20389,             0.14695,            0.073769,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,             0.12628,             0.12021,                   0,             0.51307,             0.17503,             0.32594,             0.18247,             0.14847,            0.085449,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,             0.12508,             0.12446,                   0,              0.5721,             0.12047,             0.33364,             0.18939,             0.14782,            0.078174,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,             0.12553,             0.12299,                   0,             0.67517,            0.083775,             0.37307,             0.21916,             0.14703,            0.073496,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,             0.12602,             0.12217,                   0,             0.60949,            0.064382,             0.32896,             0.18719,             0.14661,            0.075665,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,             0.12448,             0.12479,                   0,              0.5904,             0.16114,             0.36013,             0.20722,             0.14794,             0.08211,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,             0.12499,             0.12637,                   0,             0.64014,             0.12096,             0.36954,             0.21411,             0.14764,            0.077021,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,             0.12565,             0.12521,                   0,              0.7086,            0.054152,             0.37748,             0.22094,             0.14762,            0.072006,                   0,           0.0098079,           0.0098079,           0.0098079
