               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10574,             0.12925,             0.08055,            0.022301,           0.0029137,              0.0116,           0.0063093,             0.10388,            0.072266,            0.061121,           0.0033313,           0.0033313,            0.070019
                   1,            0.089613,            0.089682,            0.046787,            0.079318,            0.014375,            0.046009,            0.028085,             0.10362,            0.075143,             0.05743,           0.0066644,           0.0066644,            0.040018
                   2,            0.082199,            0.086624,            0.041633,             0.10608,            0.030875,            0.066755,            0.041711,             0.10364,            0.077555,               0.057,            0.009997,            0.009997,            0.010018
                   3,            0.074369,            0.085208,            0.038313,             0.10788,            0.055887,            0.081935,            0.058917,             0.10592,            0.080702,            0.056723,           0.0099978,           0.0099978,           0.0099978
                   4,            0.068777,            0.082761,            0.035989,             0.31424,            0.075064,             0.19707,              0.1492,             0.10695,            0.084547,            0.058023,           0.0099978,           0.0099978,           0.0099978
                   5,            0.065204,            0.080349,            0.034094,             0.33056,            0.089331,             0.21304,             0.16379,             0.10738,            0.085983,            0.057688,           0.0099961,           0.0099961,           0.0099961
                   6,            0.063069,            0.078391,            0.032442,             0.32648,             0.10471,             0.21669,             0.16454,             0.10662,            0.089162,            0.058416,           0.0099938,           0.0099938,           0.0099938
                   7,            0.061308,            0.076756,            0.031149,             0.33085,             0.12147,             0.22448,             0.17193,             0.10644,            0.089994,            0.058776,           0.0099911,           0.0099911,           0.0099911
                   8,            0.060041,            0.075829,            0.030209,              0.3349,             0.13423,             0.23014,             0.17885,             0.10743,            0.091887,            0.059119,           0.0099879,           0.0099879,           0.0099879
                   9,            0.058913,              0.0753,            0.029491,             0.36102,             0.14469,             0.24946,             0.19872,             0.10758,            0.089627,            0.060082,           0.0099842,           0.0099842,           0.0099842
                  10,            0.058493,            0.074986,            0.028896,             0.35057,             0.17036,             0.25463,             0.19905,             0.10774,            0.091117,            0.057912,             0.00998,             0.00998,             0.00998
                  11,            0.057318,            0.074495,            0.027893,             0.44027,             0.20293,             0.31468,             0.25688,             0.10812,            0.092869,            0.058417,           0.0099753,           0.0099753,           0.0099753
                  12,            0.056765,            0.073251,            0.027444,             0.33987,             0.21532,             0.27252,             0.21477,             0.10804,             0.09445,            0.057435,           0.0099702,           0.0099702,           0.0099702
                  13,            0.056075,            0.072451,            0.026819,              0.4155,             0.21295,             0.31224,             0.25153,             0.10828,            0.092244,            0.057994,           0.0099645,           0.0099645,           0.0099645
                  14,            0.055336,            0.071549,            0.026317,             0.48948,             0.23302,             0.35712,              0.2943,             0.10801,            0.092641,            0.056095,           0.0099584,           0.0099584,           0.0099584
                  15,             0.05492,            0.072098,            0.025884,             0.47594,             0.24284,             0.35835,             0.29524,             0.10837,            0.097917,            0.055955,           0.0099517,           0.0099517,           0.0099517
                  16,            0.054659,              0.0716,            0.025455,             0.40407,             0.24577,             0.32543,             0.25862,             0.10856,            0.093703,            0.056832,           0.0099446,           0.0099446,           0.0099446
                  17,            0.054256,            0.071823,            0.025222,              0.3999,             0.25679,               0.328,             0.26506,             0.10859,            0.096719,            0.056575,            0.009937,            0.009937,            0.009937
                  18,            0.053636,            0.071173,            0.024628,              0.4335,              0.2526,             0.34552,             0.28202,             0.10905,            0.093706,            0.056762,           0.0099289,           0.0099289,           0.0099289
                  19,            0.053397,            0.070655,            0.024514,             0.42785,             0.26725,             0.35102,             0.28477,             0.10827,            0.095964,            0.056401,           0.0099203,           0.0099203,           0.0099203
                  20,            0.053156,            0.071091,             0.02422,             0.47014,             0.27151,             0.37374,             0.30271,             0.10856,            0.094838,            0.056224,           0.0099112,           0.0099112,           0.0099112
                  21,            0.052738,            0.069836,            0.023775,             0.46312,              0.2777,             0.37394,             0.30682,              0.1089,             0.09444,            0.055441,           0.0099017,           0.0099017,           0.0099017
                  22,            0.052471,            0.069775,             0.02349,             0.47834,             0.27966,              0.3811,             0.30985,             0.10903,            0.094837,            0.056216,           0.0098916,           0.0098916,           0.0098916
                  23,            0.052228,            0.069443,            0.023382,             0.47454,             0.28553,              0.3846,              0.3085,              0.1086,            0.096873,             0.05551,           0.0098811,           0.0098811,           0.0098811
                  24,            0.051883,            0.069286,             0.02311,             0.48523,             0.28495,             0.38777,             0.31422,             0.10894,            0.094913,            0.054083,           0.0098701,           0.0098701,           0.0098701
                  25,             0.05179,            0.070152,             0.02291,             0.47833,             0.30431,             0.39756,             0.32099,             0.10919,            0.096613,             0.05513,           0.0098586,           0.0098586,           0.0098586
                  26,            0.051277,            0.067942,            0.022798,             0.47428,             0.31208,             0.39769,             0.32126,             0.10918,            0.096617,            0.056143,           0.0098467,           0.0098467,           0.0098467
                  27,             0.05133,            0.068735,            0.022639,             0.48737,             0.30639,             0.39829,             0.32426,             0.10908,            0.095849,            0.055719,           0.0098342,           0.0098342,           0.0098342
