               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14917,             0.32835,                   0,                   0,                   0,                   0,                   0,             0.13605,             0.04742,                   0,             0.00183,             0.00183,             0.08353
                   1,             0.14015,            0.056723,                   0,                   0,                   0,                   0,                   0,             0.13201,            0.037547,                   0,           0.0036699,           0.0036699,             0.06697
                   2,             0.13645,            0.059717,                   0,                   0,                   0,                   0,                   0,             0.12926,             0.03554,                   0,           0.0055095,           0.0055095,            0.050409
                   3,             0.13433,            0.053184,                   0,             0.19197,            0.018078,             0.10211,            0.056907,             0.12868,            0.033905,                   0,           0.0073484,           0.0073484,            0.033848
                   4,             0.13103,             0.04994,                   0,             0.18536,            0.042237,            0.099049,             0.05288,             0.12822,            0.033972,                   0,           0.0091864,           0.0091864,            0.017286
                   5,             0.12754,            0.056644,                   0,             0.29583,             0.03706,             0.15543,            0.083486,             0.12841,            0.034193,                   0,           0.0099938,           0.0099938,           0.0099938
                   6,              0.1245,            0.052529,                   0,             0.33688,            0.011751,             0.17076,            0.091278,             0.12794,            0.032448,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,             0.12182,            0.050438,                   0,             0.36446,             0.04088,             0.19327,             0.10596,             0.12884,            0.032467,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,             0.11928,            0.054218,                   0,             0.58758,           0.0010272,             0.29309,             0.17658,             0.12791,             0.03259,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,             0.11709,            0.051491,                   0,             0.47529,            0.032006,             0.24911,             0.13459,             0.12976,            0.032097,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,              0.1166,            0.053841,                   0,             0.41653,             0.13727,             0.25527,             0.13992,             0.13153,            0.034132,                   0,             0.00998,             0.00998,             0.00998
                  11,             0.11616,            0.057845,                   0,             0.54391,            0.072271,             0.30149,             0.17016,             0.13132,            0.032291,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,             0.11422,            0.051042,                   0,             0.69027,           0.0096142,                0.35,             0.20697,             0.12963,            0.031478,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,              0.1138,            0.054887,                   0,             0.56429,            0.060233,             0.30612,             0.17251,             0.13146,            0.031974,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,             0.11284,            0.054156,                   0,             0.25593,              0.2141,             0.18996,             0.10238,             0.13323,            0.039331,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,             0.11257,            0.053999,                   0,             0.57611,            0.079461,             0.32038,             0.18614,             0.13116,            0.033714,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,             0.11087,            0.054792,                   0,             0.44645,             0.16389,             0.28617,             0.16138,             0.13273,            0.034694,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,             0.11218,            0.055677,                   0,             0.53819,            0.081351,             0.30019,             0.16904,             0.13278,            0.032992,                   0,            0.009937,            0.009937,            0.009937
                  18,             0.11083,            0.056255,                   0,             0.49688,             0.14076,             0.30615,             0.17364,             0.13201,            0.035823,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,             0.11071,            0.056658,                   0,              0.5247,             0.16147,             0.32889,             0.18477,             0.13294,            0.035552,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,             0.10937,            0.056717,                   0,             0.42543,            0.094704,             0.25045,             0.14087,             0.13195,            0.035868,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,             0.10785,            0.052676,                   0,             0.63172,            0.098032,             0.35867,             0.21004,             0.13297,            0.032956,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,             0.10932,            0.056033,                   0,             0.48275,             0.18398,             0.31693,             0.18031,             0.13336,            0.036088,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,             0.10933,            0.053416,                   0,             0.55602,             0.14191,             0.33757,             0.19442,             0.13211,            0.035612,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,             0.10823,            0.050194,                   0,             0.58225,             0.10136,             0.33509,               0.195,             0.13212,            0.034818,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,              0.1071,            0.051916,                   0,              0.5041,             0.18674,             0.32753,             0.18727,             0.13439,             0.03458,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,              0.1078,            0.052518,                   0,              0.4637,              0.2081,             0.31889,              0.1791,             0.13494,             0.03559,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,              0.1078,            0.056475,                   0,             0.51914,             0.20391,             0.34498,              0.1989,             0.13371,            0.036535,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,             0.10656,            0.052161,                   0,             0.60545,             0.15711,             0.37275,             0.21795,             0.13386,            0.034731,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,             0.10745,            0.052891,                   0,             0.56564,             0.17154,             0.35431,             0.20846,             0.13387,            0.034479,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,             0.10694,             0.05185,                   0,             0.50417,             0.20112,             0.33412,             0.18894,             0.13493,             0.03432,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,             0.10656,            0.052254,                   0,             0.55423,             0.18686,             0.35217,             0.20409,             0.13357,            0.036442,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,             0.10575,            0.052036,                   0,             0.68106,            0.092033,             0.38215,             0.23163,             0.13269,             0.03607,                   0,            0.009765,            0.009765,            0.009765
                  33,             0.10646,            0.053267,                   0,             0.54997,             0.17885,              0.3531,             0.20222,             0.13425,            0.035834,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,             0.10553,            0.052518,                   0,             0.58188,             0.20235,             0.37989,             0.22442,             0.13478,            0.035395,                   0,            0.009734,            0.009734,            0.009734
                  35,             0.10704,            0.057698,                   0,             0.64861,            0.082666,             0.35872,             0.21345,             0.13267,              0.0368,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,             0.10658,            0.050762,                   0,             0.63216,             0.17412,             0.39201,              0.2366,             0.13434,            0.033916,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,             0.10744,            0.056452,                   0,             0.61023,              0.1392,             0.36843,             0.22033,             0.13445,            0.035646,                   0,            0.009684,            0.009684,            0.009684
                  38,              0.1047,            0.049382,                   0,             0.65447,             0.15954,             0.39966,             0.23941,             0.13418,            0.034119,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,             0.10582,            0.055066,                   0,             0.59489,             0.22655,              0.3996,             0.23472,             0.13427,            0.037047,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,             0.10517,            0.055865,                   0,             0.58569,             0.22762,             0.39518,             0.23357,             0.13522,            0.036145,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,             0.10583,            0.056954,                   0,             0.64478,             0.17392,             0.40295,             0.24348,             0.13403,            0.035683,                   0,            0.009611,            0.009611,            0.009611
                  42,             0.10498,             0.05248,                   0,             0.63423,             0.19471,             0.40685,             0.24494,             0.13524,            0.035218,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,             0.10554,            0.051526,                   0,             0.57847,             0.21792,             0.38708,              0.2273,             0.13447,            0.037374,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,              0.1046,             0.05383,                   0,             0.64026,             0.20153,             0.40854,             0.24609,             0.13454,             0.03566,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,             0.10476,            0.051738,                   0,             0.64287,             0.19828,             0.41112,             0.24768,             0.13517,            0.035275,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,             0.10389,            0.053674,                   0,             0.60479,             0.19919,             0.39189,              0.2324,             0.13504,            0.035702,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,             0.10454,            0.057364,                   0,             0.66456,             0.14701,             0.40122,             0.24599,             0.13363,            0.035903,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,             0.10386,            0.051021,                   0,             0.67661,             0.17527,             0.41843,             0.25724,             0.13469,            0.034444,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,             0.10351,            0.051312,                   0,             0.58416,             0.25395,             0.40759,             0.24048,             0.13533,            0.036422,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,             0.10382,            0.057032,                   0,             0.56836,             0.21846,             0.38011,             0.22612,             0.13449,             0.03784,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,             0.10487,            0.057087,                   0,             0.67207,             0.18407,             0.41741,             0.25058,             0.13512,            0.035105,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,             0.10243,            0.050145,                   0,             0.63662,             0.22955,             0.42362,             0.25547,             0.13461,            0.036762,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,             0.10302,            0.051742,                   0,             0.61689,             0.25716,             0.42509,             0.25349,             0.13581,             0.03664,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,             0.10282,            0.050191,                   0,             0.65645,             0.21817,             0.42706,             0.25886,             0.13539,            0.035643,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,             0.10302,            0.054304,                   0,             0.52271,             0.30683,             0.40211,              0.2348,             0.13722,            0.039802,                   0,           0.0092995,           0.0092995,           0.0092995
