               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12077,             0.33381,            0.074358,            0.028255,            0.008873,            0.015675,           0.0088157,             0.11767,             0.25607,            0.060258,           0.0033313,           0.0033313,            0.070019
                   1,             0.10351,             0.30197,             0.04547,             0.10101,            0.036076,            0.067841,            0.042338,             0.11975,              0.2779,            0.057871,           0.0066644,           0.0066644,            0.040018
                   2,            0.097976,             0.30081,            0.040572,            0.094069,            0.060323,            0.075159,             0.04848,             0.12387,             0.30032,            0.059961,            0.009997,            0.009997,            0.010018
                   3,            0.091426,             0.28712,            0.037944,             0.11618,            0.069639,            0.093183,            0.066445,             0.12394,             0.31978,             0.06587,           0.0099978,           0.0099978,           0.0099978
                   4,            0.087001,             0.27951,            0.035906,             0.33601,            0.087147,             0.21247,             0.15862,             0.12469,              0.3402,            0.067037,           0.0099978,           0.0099978,           0.0099978
                   5,            0.084503,             0.27165,            0.034148,             0.32499,             0.11475,             0.21813,             0.16185,             0.12501,             0.33753,            0.066718,           0.0099961,           0.0099961,           0.0099961
                   6,            0.082703,             0.26779,            0.033286,             0.34181,             0.13491,             0.23745,             0.17732,             0.12656,             0.35176,            0.068896,           0.0099938,           0.0099938,           0.0099938
                   7,            0.081545,             0.26394,            0.032125,             0.30776,             0.16065,             0.23219,             0.17581,             0.12661,             0.35619,            0.066232,           0.0099911,           0.0099911,           0.0099911
                   8,            0.080245,             0.26118,            0.031366,             0.35352,             0.15832,              0.2527,             0.19474,             0.12641,             0.34355,            0.067382,           0.0099879,           0.0099879,           0.0099879
                   9,            0.079537,             0.26031,              0.0306,             0.32453,             0.17812,             0.24829,             0.18958,             0.12563,             0.36595,            0.074244,           0.0099842,           0.0099842,           0.0099842
                  10,            0.079025,             0.25912,            0.029794,              0.3412,             0.18121,             0.25577,             0.19559,             0.12521,             0.36321,            0.067822,             0.00998,             0.00998,             0.00998
                  11,            0.078583,             0.25652,            0.029327,             0.35191,             0.19862,             0.26614,             0.20817,             0.12637,             0.36023,            0.069412,           0.0099753,           0.0099753,           0.0099753
                  12,            0.077592,             0.25562,            0.028864,             0.35559,             0.21515,             0.27451,             0.21409,              0.1258,             0.36397,             0.07444,           0.0099702,           0.0099702,           0.0099702
                  13,            0.077239,              0.2567,            0.028502,             0.37212,             0.21907,             0.28432,             0.22283,             0.12614,             0.36254,            0.072588,           0.0099645,           0.0099645,           0.0099645
                  14,            0.076812,             0.25205,            0.027985,             0.39706,              0.2248,             0.30034,             0.23112,              0.1264,              0.3591,            0.072355,           0.0099584,           0.0099584,           0.0099584
                  15,            0.076206,             0.25146,            0.027736,             0.43796,             0.23523,             0.32759,              0.2605,             0.12584,             0.37136,            0.066645,           0.0099517,           0.0099517,           0.0099517
                  16,            0.076197,              0.2495,             0.02719,             0.44209,             0.24555,               0.335,             0.26519,             0.12557,             0.37138,            0.073758,           0.0099446,           0.0099446,           0.0099446
                  17,            0.075512,             0.24747,            0.026775,             0.48107,              0.2525,             0.35916,             0.29164,             0.12618,             0.37503,            0.071535,            0.009937,            0.009937,            0.009937
                  18,             0.07548,             0.24767,            0.026355,             0.51771,             0.26084,             0.37987,             0.30598,             0.12591,             0.37299,            0.075751,           0.0099289,           0.0099289,           0.0099289
                  19,            0.074737,             0.24537,            0.026253,             0.53688,             0.26619,             0.39395,             0.32072,             0.12541,             0.37655,            0.068727,           0.0099203,           0.0099203,           0.0099203
                  20,            0.074842,             0.24552,            0.026117,             0.49679,             0.27796,             0.38012,             0.30859,             0.12619,             0.37663,             0.07007,           0.0099112,           0.0099112,           0.0099112
                  21,            0.074483,             0.24651,            0.025619,             0.48075,             0.28202,             0.37499,             0.30459,             0.12619,             0.37777,             0.06384,           0.0099017,           0.0099017,           0.0099017
                  22,            0.074268,             0.24301,            0.025375,             0.48782,             0.29811,             0.38798,             0.31542,             0.12645,             0.37945,            0.069008,           0.0098916,           0.0098916,           0.0098916
                  23,            0.073681,             0.24235,            0.025141,             0.49374,              0.3001,             0.39292,             0.31842,             0.12617,             0.38274,            0.064244,           0.0098811,           0.0098811,           0.0098811
                  24,            0.073377,              0.2416,            0.024843,             0.49631,             0.31548,             0.40245,             0.32584,             0.12609,             0.38276,            0.069783,           0.0098701,           0.0098701,           0.0098701
                  25,            0.073385,             0.24559,            0.024803,               0.481,              0.3108,             0.39112,              0.3146,              0.1255,             0.38881,            0.069377,           0.0098586,           0.0098586,           0.0098586
