               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.17051,             0.37621,                   0,                   0,                   0,                   0,                   0,             0.15634,            0.055123,                   0,             0.00183,             0.00183,             0.08353
                   1,              0.1586,            0.082287,                   0,                   0,                   0,                   0,                   0,             0.14873,            0.058191,                   0,           0.0036699,           0.0036699,             0.06697
                   2,              0.1527,            0.089043,                   0,                   0,                   0,                   0,                   0,             0.14545,            0.060565,                   0,           0.0055095,           0.0055095,            0.050409
                   3,             0.14737,            0.088456,                   0,           0.0016375,          4.1086e-05,          0.00058315,          0.00029157,             0.14423,             0.15638,                   0,           0.0073484,           0.0073484,            0.033848
                   4,             0.14116,             0.10162,                   0,             0.15431,            0.008546,            0.079367,            0.041766,             0.14336,            0.065183,                   0,           0.0091864,           0.0091864,            0.017286
                   5,             0.13919,             0.10059,                   0,             0.37157,           0.0071901,             0.18986,              0.1036,             0.14332,            0.063611,                   0,           0.0099938,           0.0099938,           0.0099938
                   6,             0.13721,             0.10911,                   0,             0.19763,           0.0061629,             0.10105,            0.055697,              0.1436,            0.066103,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,              0.1357,             0.11482,                   0,             0.19534,           0.0009039,            0.099781,            0.049891,             0.14404,            0.063535,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,             0.13345,             0.12385,                   0,             0.38598,            0.029417,             0.20176,             0.10823,             0.14439,             0.06921,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,             0.13228,             0.12106,                   0,             0.39652,           0.0036978,             0.20073,             0.10479,             0.14481,            0.065283,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,             0.13071,             0.11928,                   0,             0.72603,           0.0021776,             0.36517,             0.19996,             0.14462,             0.06676,                   0,             0.00998,             0.00998,             0.00998
                  11,             0.12973,             0.11758,                   0,             0.53075,           0.0095731,             0.27026,             0.15516,             0.14524,            0.066337,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,             0.12872,             0.13433,                   0,             0.45874,            0.056412,             0.24646,             0.13693,              0.1456,            0.072539,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,             0.12961,             0.12321,                   0,             0.60929,            0.032869,             0.31642,             0.17871,             0.14615,            0.072166,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,             0.12932,             0.13045,                   0,             0.47119,             0.10111,             0.27346,              0.1508,              0.1466,            0.082635,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,              0.1274,             0.12159,                   0,              0.5007,               0.059,              0.2732,             0.15139,             0.14578,            0.077025,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,             0.12785,              0.1249,                   0,              0.3508,             0.15128,             0.22495,             0.12108,             0.14773,             0.10632,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,             0.12725,             0.12347,                   0,             0.51077,             0.10913,             0.29726,             0.16388,             0.14702,            0.081392,                   0,            0.009937,            0.009937,            0.009937
                  18,             0.12693,             0.12734,                   0,             0.54877,             0.13337,             0.32647,             0.18215,             0.14735,            0.084152,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,              0.1255,             0.13235,                   0,             0.34394,             0.18744,             0.22814,             0.12437,             0.14758,             0.10517,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,             0.12675,             0.12686,                   0,              0.5811,             0.10436,             0.33286,             0.19074,             0.14698,            0.079667,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,             0.12547,             0.13867,                   0,             0.67488,            0.051769,             0.35816,             0.20334,             0.14683,             0.07431,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,             0.12541,             0.12155,                   0,             0.63822,            0.088788,             0.35534,             0.20611,             0.14708,            0.075985,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,             0.12425,               0.121,                   0,             0.69206,            0.071285,             0.37714,             0.22616,             0.14702,             0.07344,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,             0.12504,             0.12891,                   0,             0.61797,             0.13312,             0.36468,             0.21199,             0.14749,            0.083492,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,             0.12415,              0.1317,                   0,             0.64352,             0.10547,             0.36742,             0.21205,             0.14764,            0.078056,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,             0.12542,             0.12857,                   0,             0.51514,             0.14331,             0.31328,             0.17558,             0.14822,             0.10146,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,             0.12389,             0.12586,                   0,             0.64689,              0.1263,             0.37884,             0.22186,             0.14735,            0.079654,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,             0.12358,             0.13052,                   0,             0.71063,            0.090102,             0.39587,             0.23973,             0.14709,             0.07698,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,             0.12353,             0.12914,                   0,             0.70614,              0.1012,             0.39581,             0.23551,             0.14784,            0.077845,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,              0.1244,              0.1326,                   0,              0.6164,              0.1461,             0.37048,             0.21565,             0.14786,            0.083073,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,             0.12364,             0.13034,                   0,             0.65334,              0.1383,             0.38597,             0.22596,             0.14852,            0.080632,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,             0.12349,             0.13205,                   0,             0.67945,             0.12227,             0.39578,             0.23169,             0.14804,            0.081337,                   0,            0.009765,            0.009765,            0.009765
                  33,             0.12266,             0.12611,                   0,             0.62168,             0.17486,             0.38861,             0.22803,             0.14827,            0.088584,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,              0.1229,             0.12393,                   0,             0.54634,              0.2192,             0.36825,             0.21121,             0.14873,            0.095766,                   0,            0.009734,            0.009734,            0.009734
                  35,             0.12192,             0.12761,                   0,             0.61291,             0.19393,             0.39506,             0.23141,             0.14797,            0.087512,                   0,           0.0097178,           0.0097178,           0.0097178
