epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.903,0.06654,14.6845,8.40455,0.00047,0.00017,0.00024,6e-05,0.06729,9.31175,7.85968,0.0700185,0.00333127,0.00333127
2,442.19,0.05122,7.85984,5.578,0.03976,0.12815,0.04826,0.0193,0.03703,4.97587,3.45282,0.0399985,0.00664461,0.00664461
3,651.315,0.0344,4.93586,3.13191,0.22378,0.11789,0.08489,0.03915,0.03148,4.22414,2.86046,0.00995855,0.00993795,0.00993795
4,859.216,0.03008,4.15117,2.7186,0.22552,0.18162,0.15107,0.08022,0.02692,3.51488,2.52314,0.00991,0.00991,0.00991
5,1067.76,0.0279,3.68921,2.53234,0.26719,0.2246,0.19189,0.10236,0.02546,3.23552,2.40071,0.00988,0.00988,0.00988
6,1276.2,0.02654,3.40791,2.44137,0.33026,0.25007,0.2321,0.12491,0.02451,2.96727,2.3307,0.00985,0.00985,0.00985
7,1484.44,0.02562,3.21249,2.37832,0.34588,0.27181,0.26371,0.14731,0.02346,2.78867,2.28752,0.00982,0.00982,0.00982
8,1693.14,0.02494,3.06661,2.33241,0.3718,0.30386,0.28746,0.16225,0.02308,2.69379,2.24896,0.00979,0.00979,0.00979
9,1901.36,0.02425,2.9168,2.29065,0.40761,0.32092,0.31601,0.1796,0.02252,2.58446,2.23078,0.00976,0.00976,0.00976
10,2109.92,0.02397,2.83932,2.27426,0.40219,0.31758,0.31507,0.18239,0.02208,2.58193,2.19914,0.00973,0.00973,0.00973
11,2318.25,0.0236,2.73953,2.24071,0.42721,0.3389,0.33332,0.19137,0.02186,2.47599,2.18092,0.0097,0.0097,0.0097
12,2526.74,0.02323,2.67741,2.22008,0.44092,0.35029,0.34761,0.2003,0.02153,2.44179,2.16483,0.00967,0.00967,0.00967
13,2736.35,0.02297,2.61748,2.20941,0.45315,0.36605,0.36212,0.20924,0.02133,2.39077,2.14947,0.00964,0.00964,0.00964
14,2945.59,0.02272,2.56511,2.19427,0.45565,0.37287,0.3739,0.2195,0.02107,2.33418,2.14208,0.00961,0.00961,0.00961
15,3155.75,0.02259,2.51648,2.18472,0.46668,0.36917,0.37704,0.22155,0.02084,2.31504,2.12573,0.00958,0.00958,0.00958
16,3366.22,0.02224,2.46856,2.16699,0.47338,0.37616,0.38464,0.22571,0.02075,2.28418,2.12111,0.00955,0.00955,0.00955
