epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8318,0.03036,20.128,3.26032,0,0,0,0,0.02392,4.32364,2.27002,0.070163,0.00331522,0.00331522
2,54.5023,0.03116,5.306,3.17934,0.00278,0.00025,0.00143,0.00026,0.02631,2.6677,2.33843,0.0401431,0.00662861,0.00662861
3,80.4651,0.03246,4.44217,2.88961,0.02178,0.02416,0.01387,0.0032,0.0272,3.25927,2.31125,0.0101032,0.00992199,0.00992199
4,106.37,0.02762,3.43731,2.2132,0.05146,0.0433,0.01387,0.00306,0.02607,14.0059,1.70292,0.00991,0.00991,0.00991
5,132.095,0.02594,2.76265,1.72225,0.05202,0.04552,0.02772,0.00642,0.027,2.92762,1.71929,0.00988,0.00988,0.00988
6,157.921,0.02552,2.52121,1.55145,0.13659,0.08098,0.03108,0.00675,0.02449,2.72688,1.40663,0.00985,0.00985,0.00985
7,183.796,0.02508,2.40477,1.50832,0.13795,0.0627,0.03521,0.00757,0.02432,2.40012,1.35934,0.00982,0.00982,0.00982
8,209.746,0.02413,2.24378,1.4435,0.20924,0.08051,0.05597,0.01278,0.02348,2.09333,1.35621,0.00979,0.00979,0.00979
9,235.731,0.02398,2.24321,1.42955,0.3217,0.1309,0.10961,0.02697,0.02227,1.97674,1.31252,0.00976,0.00976,0.00976
10,261.737,0.02307,2.12676,1.38316,0.09641,0.06927,0.02432,0.005,0.02427,2.93864,1.30986,0.00973,0.00973,0.00973
11,287.495,0.02269,2.16067,1.39911,0.22252,0.12823,0.06633,0.01397,0.02194,2.28032,1.24369,0.0097,0.0097,0.0097
12,313.336,0.02236,2.09626,1.32582,0.2978,0.16024,0.113,0.02723,0.02144,1.96507,1.27139,0.00967,0.00967,0.00967
13,339.235,0.0218,1.98801,1.31761,0.29564,0.15892,0.10709,0.02886,0.02162,2.0282,1.29739,0.00964,0.00964,0.00964
14,365.188,0.02182,1.96269,1.28922,0.33311,0.18234,0.14171,0.03873,0.02036,2.03302,1.22124,0.00961,0.00961,0.00961
15,391.049,0.0214,1.93692,1.28244,0.33389,0.17211,0.14165,0.03748,0.02038,1.87394,1.19694,0.00958,0.00958,0.00958
16,416.761,0.02144,1.88801,1.27311,0.36932,0.18086,0.14888,0.03884,0.02012,1.89621,1.19486,0.00955,0.00955,0.00955
17,442.737,0.02083,1.88163,1.27354,0.34194,0.20473,0.14618,0.03787,0.01951,2.1235,1.17421,0.00952,0.00952,0.00952
18,468.681,0.02093,1.82897,1.26416,0.31895,0.18403,0.12836,0.03279,0.01986,2.08093,1.17096,0.00949,0.00949,0.00949
19,494.346,0.02062,1.81581,1.26789,0.37919,0.20438,0.17404,0.04738,0.01945,1.8138,1.15653,0.00946,0.00946,0.00946
20,519.979,0.02036,1.82176,1.23345,0.29112,0.1272,0.10366,0.02779,0.02073,2.12673,1.19541,0.00943,0.00943,0.00943
21,545.908,0.02056,1.76667,1.2625,0.37594,0.21476,0.166,0.04623,0.01954,2.08843,1.16965,0.0094,0.0094,0.0094
22,571.915,0.02005,1.72284,1.23342,0.35996,0.20408,0.16122,0.04432,0.01936,1.78465,1.16026,0.00937,0.00937,0.00937
23,597.856,0.02001,1.75721,1.23792,0.48232,0.14397,0.1795,0.05352,0.01939,2.09428,1.17547,0.00934,0.00934,0.00934
24,623.598,0.01975,1.7468,1.21893,0.32874,0.18629,0.14183,0.03823,0.01941,1.80962,1.16036,0.00931,0.00931,0.00931
25,649.237,0.02005,1.71621,1.20344,0.33881,0.18666,0.1525,0.04224,0.0193,1.76211,1.15731,0.00928,0.00928,0.00928
26,674.985,0.01991,1.70726,1.23148,0.40154,0.20469,0.19393,0.0552,0.01883,1.76052,1.14352,0.00925,0.00925,0.00925
27,700.791,0.01965,1.67289,1.22038,0.46357,0.21402,0.21568,0.06524,0.01885,1.75821,1.16113,0.00922,0.00922,0.00922
28,726.632,0.01965,1.6555,1.20322,0.43455,0.21583,0.21623,0.06404,0.01917,1.6922,1.19113,0.00919,0.00919,0.00919
29,752.388,0.0195,1.63903,1.20049,0.43515,0.24434,0.21849,0.06427,0.01843,1.6172,1.14558,0.00916,0.00916,0.00916
30,778.161,0.01931,1.61732,1.18644,0.45233,0.22684,0.22736,0.07049,0.01854,1.59743,1.1608,0.00913,0.00913,0.00913
31,804.153,0.01909,1.62317,1.19868,0.42212,0.25445,0.21946,0.06624,0.01846,1.66036,1.14192,0.0091,0.0091,0.0091
32,829.956,0.01913,1.63155,1.18614,0.38137,0.19639,0.16827,0.04718,0.0192,1.793,1.13839,0.00907,0.00907,0.00907
33,855.852,0.01911,1.56934,1.18346,0.42424,0.23214,0.21221,0.06217,0.01829,1.702,1.12374,0.00904,0.00904,0.00904
34,881.56,0.01912,1.56067,1.17571,0.36607,0.19553,0.1729,0.04934,0.01913,1.7465,1.15397,0.00901,0.00901,0.00901
35,907.434,0.01921,1.60698,1.16459,0.45945,0.25301,0.22631,0.06846,0.01792,1.62696,1.12212,0.00898,0.00898,0.00898
36,933.332,0.01927,1.58164,1.17465,0.43112,0.22581,0.20566,0.06122,0.01796,1.62357,1.11643,0.00895,0.00895,0.00895
37,959.127,0.0189,1.55837,1.15517,0.48373,0.25782,0.26099,0.0808,0.01775,1.59088,1.11087,0.00892,0.00892,0.00892
38,984.867,0.01869,1.56167,1.18048,0.46025,0.2413,0.23305,0.06919,0.01853,1.56128,1.14834,0.00889,0.00889,0.00889
39,1010.61,0.0186,1.52527,1.16072,0.46572,0.26373,0.24177,0.07367,0.01777,1.58322,1.11952,0.00886,0.00886,0.00886
40,1036.3,0.01824,1.52027,1.21312,0.45644,0.2528,0.23094,0.0693,0.01811,1.60731,1.11745,0.00883,0.00883,0.00883
41,1062.07,0.01833,1.49667,1.15369,0.4863,0.27269,0.24972,0.07561,0.0176,1.55895,1.10926,0.0088,0.0088,0.0088
42,1087.73,0.01835,1.50786,1.16223,0.463,0.24122,0.23697,0.07083,0.01802,1.65079,1.11245,0.00877,0.00877,0.00877
43,1113.41,0.0185,1.53257,1.14494,0.45405,0.23017,0.23794,0.07377,0.01833,1.65979,1.13062,0.00874,0.00874,0.00874
44,1139.17,0.01845,1.49068,1.16519,0.47785,0.26125,0.2587,0.07994,0.01751,1.56788,1.10819,0.00871,0.00871,0.00871
45,1165.19,0.01825,1.53258,1.15678,0.44646,0.24463,0.23402,0.06981,0.0179,1.56464,1.10932,0.00868,0.00868,0.00868
46,1191.16,0.01824,1.46578,1.15551,0.48373,0.26801,0.25845,0.08071,0.01775,1.54776,1.10736,0.00865,0.00865,0.00865
47,1216.86,0.01839,1.49049,1.12642,0.48753,0.25667,0.26112,0.07915,0.01794,1.62599,1.10593,0.00862,0.00862,0.00862
48,1242.62,0.01789,1.45354,1.16808,0.47894,0.26661,0.24795,0.07737,0.01756,1.54194,1.11251,0.00859,0.00859,0.00859
49,1268.34,0.01812,1.4486,1.15179,0.49916,0.26694,0.26542,0.08397,0.01745,1.52321,1.10574,0.00856,0.00856,0.00856
50,1294.24,0.0181,1.5255,1.15856,0.44604,0.23604,0.22128,0.06579,0.01843,1.6658,1.12183,0.00853,0.00853,0.00853
